site	spec	elevation	forest	y1999	y2000	y2001	y2002	y2003	y2004	y2005	y2006	y2007	obs1999	obs2000	obs2001	obs2002	obs2003	obs2004	obs2005	obs2006	obs2007	first1999	first2000	first2001	first2002	first2003	first2004	first2005	first2006	first2007
34.1	Coaltit	1260	29	35	42	21	25	31	37	36	19	18	2029	2029	2029	2029	2029	2029	2029	2029	2029	1	0	0	0	0	0	0	0	0
37	Coaltit	790	5	3	1	4	7	6	3	11	2	2	2148	2148	2148	2148	2148	2148	2148	2148	2148	1	0	0	0	0	0	0	0	0
NA.31	Coaltit	2270	NA	1	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
247.1	Coaltit	1730	58	29	41	31	17	17	20	23	25	32	1678	1678	1678	1513	1513	1513	1513	1679	1679	1	0	0	1	0	0	0	1	0
248.1	Coaltit	1160	34	33	20	25	26	18	23	36	13	19	1576	1576	1576	1576	2095	2095	2095	2095	2095	1	0	0	0	1	0	0	0	0
40.1	Coaltit	1120	98	21	20	14	23	24	24	20	18	18	1750	1750	1750	1750	1750	1750	1750	1750	1750	1	0	0	0	0	0	0	0	0
250.1	Coaltit	620	33	2	2	0	4	1	0	8	2	0	3092	3092	3092	3092	3092	2153	2011	2011	2011	1	0	0	0	0	1	1	0	0
41	Coaltit	590	53	33	16	13	14	20	17	16	14	9	3010	3010	3010	3010	3010	3010	3010	3010	3010	1	0	0	0	0	0	0	0	0
44.1	Coaltit	1840	17	12	13	11	16	24	23	11	3	16	1554	1554	1554	1554	1554	1554	1554	1554	1554	1	0	0	0	0	0	0	0	0
256	Coaltit	930	16	17	19	1	17	11	11	21	8	1	1965	1965	1283	1965	3275	3275	2175	1834	2610	1	0	1	0	1	0	1	1	1
257.1	Coaltit	540	60	26	20	17	7	15	21	24	21	16	154	154	154	154	154	2117	2117	2117	2117	1	0	0	0	0	1	0	0	0
258	Coaltit	420	2	3	6	0	0	1	0	NA	2	4	1856	1856	2043	1856	1856	2509	NA	2493	2493	1	0	1	0	0	1	NA	1	0
NA.32	Coaltit	1400	52	41	40	39	41	40	33	52	39	41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
260.1	Coaltit	890	58	17	22	24	19	24	23	29	22	23	1513	1513	1513	1513	1513	1513	1513	1513	1513	1	0	0	0	0	0	0	0	0
48.1	Coaltit	1460	50	24	28	20	17	26	22	23	20	20	1550	1550	1550	1550	1550	1550	1550	1550	1550	1	0	0	0	0	0	0	0	0
261.1	Coaltit	1850	12	NA	4	3	4	2	7	4	0	1	NA	2050	2050	2050	2050	2050	2050	2050	2050	NA	1	0	0	0	0	0	0	0
49	Coaltit	1420	29	22	21	17	17	27	19	13	8	7	1934	1934	1934	1934	3301	2153	2266	2266	2266	1	0	0	0	1	1	1	0	0
263	Coaltit	600	16	14	12	7	11	10	12	11	9	0	1386	1966	1966	1830	2066	2066	2066	2049	3334	1	1	0	1	1	0	0	1	1
50.1	Coaltit	550	83	20	25	18	22	25	25	37	8	6	3176	3176	3176	3176	3176	3176	3176	1690	1690	1	0	0	0	0	0	0	1	0
51	Coaltit	750	79	29	20	32	24	23	30	21	21	13	1638	1638	1638	1638	1638	1638	1638	1553	1553	1	0	0	0	0	0	0	1	0
NA.33	Coaltit	1790	51	22	32	26	26	29	34	45	33	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.34	Coaltit	680	8	4	4	0	0	0	0	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53.1	Coaltit	990	45	37	44	24	34	25	38	49	21	31	1934	1934	1934	1934	1966	2153	2175	1834	1834	1	0	0	0	1	1	1	1	0
272	Coaltit	520	5	NA	6	1	0	0	1	4	4	0	NA	2085	2085	2085	2085	2085	2085	2085	2085	NA	1	0	0	0	0	0	0	0
56	Coaltit	760	64	8	19	14	15	18	19	20	6	9	2117	2117	2117	2117	2117	2117	2343	2493	2493	1	0	0	0	0	0	1	1	0
274	Coaltit	370	14	0	1	2	2	1	4	5	0	0	1553	1553	2245	2245	2245	2245	2245	2245	2245	1	0	1	0	0	0	0	0	0
277.1	Coaltit	650	NA	0	0	1	1	0	3	1	1	1	1364	1364	1364	1364	1364	1364	1455	1455	1455	1	0	0	0	0	0	1	0	0
59	Coaltit	660	30	9	25	26	33	43	56	53	29	32	1373	1373	961	961	961	961	961	961	961	1	0	1	0	0	0	0	0	0
278.1	Coaltit	730	17	17	16	13	14	16	15	18	12	11	2210	2210	2210	2210	2210	2210	2210	2210	2210	1	0	0	0	0	0	0	0	0
60.1	Coaltit	460	65	21	20	12	12	13	21	26	11	14	1935	1935	1935	2117	2117	2117	2117	2117	1834	1	0	0	1	0	0	0	0	1
281	Coaltit	360	30	3	3	2	2	1	2	1	0	0	2048	2048	2048	2048	2048	2048	2048	2048	2048	1	0	0	0	0	0	0	0	0
NA.35	Coaltit	1940	5	0	6	2	2	3	7	4	1	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.36	Coaltit	970	55	18	16	21	11	21	18	19	4	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.37	Coaltit	2400	NA	0	0	0	0	0	0	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
283.1	Coaltit	1320	66	29	37	16	19	NA	25	33	24	39	1455	1961	3268	1966	NA	1856	1856	2125	1966	1	1	1	1	NA	1	0	1	0
284	Coaltit	790	8	12	13	8	1	2	12	14	5	6	3268	3268	3268	2381	3301	3301	3301	3301	3301	1	0	0	1	1	0	0	0	0
286	Coaltit	470	75	20	22	18	13	17	18	10	NA	NA	2233	2233	2233	2233	2233	2233	2233	NA	NA	1	0	0	0	0	0	0	NA	NA
288	Coaltit	410	68	8	9	3	7	8	8	15	3	0	1989	1989	1989	1989	1989	1989	1989	2397	2397	1	0	0	0	0	0	0	1	0
289.1	Coaltit	1940	72	11	10	10	9	6	11	9	13	12	1513	1513	1513	1513	1513	1513	1513	1513	1513	1	0	0	0	0	0	0	0	0
290.1	Coaltit	1570	95	18	30	31	40	31	32	36	17	25	3073	3073	3073	3073	3073	3073	3073	3073	3073	1	0	0	0	0	0	0	0	0
NA.38	Coaltit	1880	57	11	8	12	13	20	14	26	17	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68.1	Coaltit	1290	64	26	30	22	19	24	30	27	6	13	1455	2266	2266	2266	3301	1856	1856	1646	3301	1	1	0	0	1	1	0	1	0
291.1	Coaltit	1340	44	24	26	16	20	44	53	47	31	33	3268	3268	3268	1966	2444	2444	2444	2444	2444	1	0	0	1	1	0	0	0	0
69.1	Coaltit	880	44	30	29	27	24	22	26	28	21	20	2050	2050	2050	2050	2050	2050	2050	2050	2050	1	0	0	0	0	0	0	0	0
292	Coaltit	710	34	17	21	19	21	27	31	35	23	19	1455	1834	1834	1834	1834	1834	1834	1834	1834	1	1	0	0	0	0	0	0	0
293	Coaltit	630	21	18	18	16	13	14	15	15	7	11	1979	1979	1979	1979	1979	1979	1979	1979	1979	1	0	0	0	0	0	0	0	0
70	Coaltit	450	23	5	7	7	3	6	5	9	2	2	2101	2101	2101	2101	2101	2101	2101	2101	2101	1	0	0	0	0	0	0	0	0
297.1	Coaltit	1650	43	14	13	14	17	18	17	18	12	14	1758	1758	1758	1758	1758	1758	1758	1758	1758	1	0	0	0	0	0	0	0	0
NA.39	Coaltit	2050	30	10	6	7	8	18	27	23	7	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
299	Coaltit	790	26	16	17	7	7	13	12	12	6	9	1820	1820	1820	1820	1820	1820	1820	1820	1820	1	0	0	0	0	0	0	0	0
72	Coaltit	730	7	7	6	5	5	6	4	5	3	2	2011	2011	2011	2011	2011	3309	3309	3309	3309	1	0	0	0	0	1	0	0	0
300	Coaltit	490	87	40	31	27	40	32	46	57	27	26	1834	1834	1834	1834	1834	1834	1834	1834	1834	1	0	0	0	0	0	0	0	0
301	Coaltit	840	49	NA	13	18	22	18	17	17	10	16	NA	2087	2087	2087	2087	2087	2087	2087	2087	NA	1	0	0	0	0	0	0	0
74	Coaltit	450	39	10	17	10	8	7	11	11	5	1	109	109	109	109	109	109	109	109	109	1	0	0	0	0	0	0	0	0
75.1	Coaltit	1010	93	34	49	44	44	41	34	51	23	30	1383	1383	1383	1383	1383	1383	1383	1383	1383	1	0	0	0	0	0	0	0	0
76.1	Coaltit	1450	48	21	28	15	15	22	26	29	19	23	1455	1961	1455	2153	2153	2153	2175	1834	1834	1	1	0	1	0	0	1	1	0
305	Coaltit	850	11	12	7	6	10	13	16	17	13	12	1455	1455	1455	1455	3301	3307	3307	3307	3307	1	0	0	0	1	1	0	0	0
77.1	Coaltit	1240	73	32	40	16	25	30	19	24	12	8	3257	3257	3257	1834	1834	1112	1112	1112	1112	1	0	0	1	0	1	0	0	0
307	Coaltit	570	12	1	0	0	0	0	0	1	0	0	1880	1880	1880	1880	1880	1880	1880	1880	1880	1	0	0	0	0	0	0	0	0
310.1	Coaltit	1500	42	23	26	40	34	35	31	30	31	25	2226	2226	2226	2226	2226	2226	3316	3316	3316	1	0	0	0	0	0	1	0	0
81	Coaltit	1420	26	NA	18	13	11	27	29	21	8	21	NA	1332	1332	1332	3307	3307	3307	3307	3307	NA	1	0	0	1	0	0	0	0
312.1	Coaltit	780	13	9	11	5	9	11	5	11	9	7	1455	1455	1455	1455	2394	2394	2394	2394	2394	1	0	0	0	1	0	0	0	0
82	Coaltit	470	2	NA	2	1	0	0	0	2	0	0	NA	1259	1259	1259	1259	1259	1259	1259	1259	NA	1	0	0	0	0	0	0	0
NA.40	Coaltit	2080	15	0	2	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.41	Coaltit	2020	54	1	3	2	7	7	7	13	3	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
84.1	Coaltit	1750	74	26	32	33	34	36	30	35	17	18	2229	2229	2229	2229	2229	2229	2229	2229	2229	1	0	0	0	0	0	0	0	0
85.1	Coaltit	1630	45	14	14	11	10	14	14	18	13	10	1455	1455	1455	1455	1455	1455	1455	1455	1455	1	0	0	0	0	0	0	0	0
319.1	Coaltit	640	61	36	35	31	26	34	37	52	23	23	1863	1863	1863	1863	1863	1863	1863	1863	1863	1	0	0	0	0	0	0	0	0
320	Coaltit	530	33	NA	32	11	14	18	12	18	14	11	NA	189	189	189	1259	3298	3298	3298	3298	NA	1	0	0	1	1	0	0	0
87	Coaltit	660	54	NA	14	5	5	7	15	17	3	5	NA	1792	3276	3276	3302	1189	1189	1189	1189	NA	1	1	0	1	1	0	0	0
NA.42	Coaltit	1360	69	9	13	15	6	4	6	3	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
89.1	Coaltit	1290	47	20	34	19	20	29	28	28	9	22	1559	1559	1559	1559	1559	1559	1559	1559	1559	1	0	0	0	0	0	0	0	0
324.1	Coaltit	670	5	3	3	0	2	2	4	4	1	0	1756	1756	3276	1961	2469	2469	2469	2469	2469	1	0	1	1	1	0	0	0	0
327	Coaltit	480	36	11	9	9	9	10	11	6	7	5	1845	1281	1281	1281	1281	1281	2139	2139	2139	1	1	0	0	0	0	1	0	0
NA.43	Coaltit	2000	60	9	12	14	9	11	13	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
92.1	Coaltit	800	72	10	11	9	8	5	27	32	12	18	1681	1681	1681	1681	1681	2153	1899	1899	3301	1	0	0	0	0	1	1	0	1
329.1	Coaltit	1010	29	19	21	12	15	19	19	32	19	20	1397	1397	1397	1397	1397	1397	2633	2633	2633	1	0	0	0	0	0	1	0	0
93	Coaltit	680	7	9	11	6	11	5	6	17	4	4	1745	1745	1745	1745	1745	1745	1745	1745	1745	1	0	0	0	0	0	0	0	0
330	Coaltit	490	7	0	6	2	0	0	1	1	0	0	2040	1876	1876	1876	1876	1876	1876	1876	1876	1	1	0	0	0	0	0	0	0
94	Coaltit	400	13	1	2	0	1	0	1	1	0	0	1943	1943	1943	1943	1943	1943	1943	1943	1943	1	0	0	0	0	0	0	0	0
331	Coaltit	320	2	1	0	0	0	0	0	1	0	0	1742	1742	1742	1742	1742	1742	1742	1742	1742	1	0	0	0	0	0	0	0	0
332.1	Coaltit	1400	16	16	18	10	15	18	19	25	NA	20	1724	1724	1724	1724	1724	1724	1724	1048	3301	1	0	0	0	0	0	0	1	1
96.1	Coaltit	590	62	13	10	12	15	16	16	15	8	12	1253	1253	2043	2043	2043	2043	2521	2521	2521	1	0	1	0	0	0	1	0	0
334	Coaltit	430	9	0	0	0	2	2	0	1	0	0	2081	2081	2081	2081	2081	2337	2081	2081	2081	1	0	0	0	0	1	0	0	0
97	Coaltit	410	37	10	8	10	3	7	8	5	3	4	3259	3259	3259	3259	3259	3259	3259	3259	3259	1	0	0	0	0	0	0	0	0
341	Coaltit	510	71	12	15	7	3	12	16	11	3	3	1991	1991	1991	1991	3303	3303	3303	3303	3303	1	0	0	0	1	0	0	0	0
100.1	Coaltit	1930	41	2	3	9	12	18	15	11	20	15	1792	1792	1792	1792	1792	1792	1792	1792	1792	1	0	0	0	0	0	0	0	0
342.1	Coaltit	1560	19	1	1	0	0	2	3	1	1	0	1834	1834	1834	1834	1834	1834	1834	1834	1834	1	0	0	0	0	0	0	0	0
102.1	Coaltit	700	24	10	18	14	13	8	12	12	8	6	1975	1975	1975	1975	2415	2415	2415	2415	2415	1	0	0	0	1	0	0	0	0
344	Coaltit	440	10	7	4	2	4	4	2	5	2	2	1730	1730	1730	1730	1730	1730	1730	1730	1730	1	0	0	0	0	0	0	0	0
345	Coaltit	480	NA	0	1	1	0	1	0	1	0	0	3263	3263	3263	3263	3263	3263	3263	3263	3263	1	0	0	0	0	0	0	0	0
346	Coaltit	490	70	13	17	14	18	10	22	14	6	14	2055	2055	2055	1458	1809	1809	1809	1809	1809	1	0	0	1	1	0	0	0	0
NA.44	Coaltit	1460	46	29	26	35	36	43	47	41	57	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
104.1	Coaltit	1850	45	11	13	6	13	18	18	7	13	17	2100	2100	2100	2100	2100	2100	2100	2100	2100	1	0	0	0	0	0	0	0	0
107	Coaltit	490	18	8	6	8	5	6	9	6	1	0	1419	1419	1419	1419	1419	1419	1419	2168	2168	1	0	0	0	0	0	0	1	0
108	Coaltit	480	20	21	13	10	10	15	11	9	10	9	1715	1715	1715	1715	3305	3305	3305	3305	3305	1	0	0	0	1	0	0	0	0
354	Coaltit	720	99	24	31	20	12	14	22	25	16	11	3094	3094	3094	3094	3094	3094	3094	3094	3094	1	0	0	0	0	0	0	0	0
NA.45	Coaltit	1370	62	25	24	33	21	25	19	28	14	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
358.1	Coaltit	1820	5	0	0	1	0	1	1	2	2	0	1650	1650	1650	1651	1651	1651	1651	1651	1651	1	0	0	1	0	0	0	0	0
NA.46	Coaltit	440	3	0	0	2	1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
112	Coaltit	820	20	10	14	10	10	9	14	25	14	8	1975	1975	1975	1975	1975	1975	3313	3313	1975	1	0	0	0	0	0	1	0	0
360.1	Coaltit	670	36	20	28	21	29	23	25	28	24	20	2058	2058	2058	2058	2058	2058	2058	2058	2058	1	0	0	0	0	0	0	0	0
361	Coaltit	610	19	NA	14	8	5	9	10	10	16	7	NA	1961	1961	2234	2387	2387	2387	2387	2387	NA	1	0	1	1	0	0	0	0
NA.47	Coaltit	1700	35	5	5	6	8	9	12	9	10	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.48	Coaltit	1580	78	28	26	11	25	27	32	38	27	43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
114	Coaltit	900	87	0	0	3	3	10	9	4	5	3	1728	1728	1728	1728	1728	1728	1728	1728	1728	1	0	0	0	0	0	0	0	0
365.1	Coaltit	1700	80	20	21	15	31	38	28	31	39	45	1489	1489	1489	1984	1984	1899	1899	1899	1899	1	0	0	1	0	1	0	0	0
367.1	Coaltit	1250	51	NA	23	27	21	31	36	53	24	31	NA	1837	1837	1837	1837	1837	1837	1837	1837	NA	1	0	0	0	0	0	0	0
368.1	Coaltit	910	21	8	7	3	6	8	10	13	6	7	200	200	200	200	200	1651	1651	1651	1651	1	0	0	0	0	1	0	0	0
118	Coaltit	540	11	5	9	5	6	6	4	3	2	3	1682	1682	1682	1682	1682	1682	1682	1682	3333	1	0	0	0	0	0	0	0	1
370	Coaltit	450	29	6	5	5	10	6	4	8	5	14	1598	1598	1598	1910	1910	1910	1910	1910	3305	1	0	0	1	0	0	0	0	1
119	Coaltit	470	55	1	2	10	12	14	8	9	5	8	1947	1947	1722	1458	2375	2375	2375	2375	2375	1	0	1	1	1	0	0	0	0
NA.49	Coaltit	470	54	0	0	2	1	0	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
375.1	Coaltit	1880	32	4	4	0	1	0	5	5	0	6	189	189	189	189	3279	1476	1458	2049	2422	1	0	0	0	1	1	1	1	1
376.1	Coaltit	1400	32	8	17	23	20	27	29	19	12	18	3007	3007	3007	3007	3007	3007	3007	3007	3007	1	0	0	0	0	0	0	0	0
124	Coaltit	470	3	NA	2	0	0	0	0	0	0	1	NA	1545	1545	1545	1545	1545	1545	1545	2163	NA	1	0	0	0	0	0	0	1
NA.50	Coaltit	1190	82	11	9	10	10	11	14	18	11	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.51	Coaltit	830	58	1	3	0	1	0	6	6	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
383.1	Coaltit	1950	36	NA	9	3	11	19	21	9	14	17	NA	2335	2335	2335	2335	2335	2335	1356	1356	NA	1	0	0	0	0	0	1	0
127.1	Coaltit	1660	86	17	21	14	17	41	37	24	38	24	1025	1025	1025	1025	1458	1458	1458	1458	1894	1	0	0	0	1	0	0	0	1
386.1	Coaltit	1210	75	20	24	13	17	17	16	18	16	18	1047	1047	1047	1047	1047	1047	1047	1047	1047	1	0	0	0	0	0	0	0	0
388.1	Coaltit	380	23	0	0	0	2	5	6	7	0	1	2136	2136	2136	2136	2136	2136	2136	2136	1515	1	0	0	0	0	0	0	0	1
NA.52	Coaltit	2020	15	0	0	0	0	0	0	0	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.53	Coaltit	1840	NA	2	0	2	1	1	1	3	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.54	Coaltit	780	59	3	4	6	6	5	3	2	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA.55	Coaltit	1960	58	33	15	10	15	17	21	22	27	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
390.1	Coaltit	950	71	4	4	6	6	6	8	11	13	9	1535	1535	1535	1535	1535	1535	1535	1535	1535	1	0	0	0	0	0	0	0	0
132.1	Coaltit	1610	43	21	22	16	27	18	23	13	23	22	1414	1414	1745	2449	2449	2449	2449	2449	2449	1	0	1	1	0	0	0	0	0
397	Coaltit	880	69	26	16	15	18	23	36	33	32	32	3260	3260	3260	3260	1419	1419	1834	1760	1458	1	0	0	0	1	0	1	1	1
398	Coaltit	480	6	1	6	3	1	1	2	0	0	0	3261	3261	3261	3261	2440	3261	2440	2440	2440	1	0	0	0	1	0	0	0	0
136	Coaltit	550	67	19	14	16	10	10	13	13	7	9	1515	1515	1515	1515	1515	1515	1515	1515	1515	1	0	0	0	0	0	0	0	0
